"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-02-29,3097,"King George","VA",,923,247800,0.00242718446601942,0.0114285714285714,0.00772671817812119,0.017330742007162,-0.02198826720166,"2006-05","2006-Q2",312900,-0.208053691275168,"2004-12"
2016-02-29,2071,"Wasatch","UT","Heber",924,335000,0.00964436407474382,0.00630820066085912,0.0802966784908094,0.00907790273214459,0.0209013318283557,"2010-03","2010-Q1",528500,-0.366130558183538,"2007-09"
2016-02-29,699,"Routt","CO","Steamboat Springs, CO",925,373200,0.00484652665589661,0.0188370188370188,0.0355160932297447,0.0276647210211802,0.000780402461026508,"2008-03","2008-Q1",559800,-0.333333333333333,"2006-05"
2016-02-29,2781,"Limestone","TX",,926,90000,0.00334448160535117,0.00671140939597316,-0.0425531914893617,-0.0268119469938668,0.00728346562550275,"2009-10","2009-Q4",135400,-0.335302806499261,"2008-11"
2016-02-29,1398,"Starke","IN",,927,96300,0.00626959247648903,0.0222929936305732,0.0547645125958379,0.00613413191576551,-0.00842287246489748,"2014-02","2014-Q1",115900,-0.169111302847282,"2012-12"
2016-02-29,1427,"Teller","CO","Colorado Springs",928,220100,0.00502283105022831,0.0142857142857143,0.0218198700092851,0.0371561388384842,0.00992585079174013,"2016-02","2016-Q1",220100,0,"2016-02"
2016-02-29,1517,"Aransas","TX","Corpus Christi",929,186700,0.023013698630137,0.0412716118237591,0.0102813852813853,,,"2012-11","2012-Q4",298800,-0.37516733601071,
2016-02-29,2277,"Franklin","IN",,930,127400,-0.00701480904130943,-0.030441400304414,-0.0146945088940449,0.00429336830084881,0.00246641106192569,"2014-02","2014-Q1",143600,-0.112813370473538,"2013-01"
2016-02-29,1001,"Elbert","CO","Denver",931,402700,0.00750562922191644,0.0373518804739825,0.179900380896572,0.0876229371376171,0.0260447490395372,"2016-02","2016-Q1",402700,0,"2016-02"
2016-02-29,100,"Bibb","AL","Birmingham",932,93700,-0.018848167539267,-0.0582914572864322,-0.0126448893572181,0.00989203584013643,-0.00042589501565482,"2008-08","2008-Q3",105600,-0.112689393939394,"2006-02"
2016-02-29,605,"Logan","CO","Sterling",933,119800,0,0.020442930153322,0.0920692798541477,0.0461640334867455,0.0185354894223813,"2016-02","2016-Q1",119800,0,"2016-02"
2016-02-29,2308,"Grainger","TN","Knoxville",934,115700,-0.0111111111111111,-0.0178268251273345,0.087406015037594,0.0217474494665304,0.00506480984595048,"2007-10","2007-Q4",127000,-0.0889763779527559,"2006-09"
2016-02-29,1036,"George","MS",,935,133800,0,0.0105740181268882,0.0205949656750572,0.0340033297942914,0.0380532878239463,"2012-08","2012-Q3",141800,-0.0564174894217207,"2012-01"
